"Query","ExpectedCategory","GoodTokens"
"brake pad elantra","Brake Pad Set","brake,pad,elantra"
"brake pads kia rio","Brake Pad Set","brake,pad,rio"
"brake disc","Brake Disc","brake,disc"
"brake rotor","Brake Disc","brake,disc,rotor"
"brake rotor front","Brake Disc - Front","brake,disc,front"
"brake rotor rear","Brake Disc - Rear","brake,disc,rear"
"front brake disc","Brake Disc - Front","brake,disc,front"
"rear brake disc","Brake Disc - Rear","brake,disc,rear"
"brake disc tucson","Brake Disc","brake,disc,tucson"
"brake rotors sportage","Brake Disc","brake,disc,sportage"
"brake caliper","Brake Caliper","brake,caliper"
"brake caliper front","Brake Caliper - Front","brake,caliper,front"
"brake shoe","Brake Shoe Set","brake,shoe"
"brake shoes","Brake Shoe Set","brake,shoe"
"brake drum","Brake Drum","brake,drum"
"brake master cylinder","Brake Master Cylinder","brake,master,cylinder"
"brake hose","Brake Hose","brake,hose"
"spark plug","Spark Plug","spark,plug"
"spark plugs","Spark Plug","spark,plug"
"spark plug sonata","Spark Plug","spark,plug,sonata"
"spark plug elantra","Spark Plug","spark,plug,elantra"
"iridium spark plug","Spark Plug","spark,plug,iridium"
"ignition coil","Ignition Coil","ignition,coil"
"ignition coil sonata","Ignition Coil","ignition,coil,sonata"
"ignition coil tucson","Ignition Coil","ignition,coil,tucson"
"coil pack","Ignition Coil","ignition,coil"
"ignition wires","Ignition Cable","ignition,cable"
"starter motor","Starter","starter,motor"
"starter","Starter","starter"
"starter sonata","Starter","starter,sonata"
"alternator","Alternator","alternator"
"alternator sonata","Alternator","alternator,sonata"
"alternator tucson","Alternator","alternator,tucson"
"alternator belt","V-Ribbed Belt","alternator,belt"
"battery","Battery","battery"
"car battery","Battery","battery,car"
"12v battery","Battery","battery"
"relay","Relay","relay"
"fuse box","Fuse Box","fuse,box"
"shock absorber","Shock Absorber","shock,absorber"
"shock absorber front","Shock Absorber - Front","shock,absorber,front"
"shock absorber rear","Shock Absorber - Rear","shock,absorber,rear"
"front shocks","Shock Absorber - Front","shock,absorber,front"
"rear shocks","Shock Absorber - Rear","shock,absorber,rear"
"coil spring","Coil Spring","coil,spring"
"control arm","Control Arm","control,arm"
"control arm front lower","Control Arm - Front Lower","control,arm,front,lower"
"ball joint","Ball Joint","ball,joint"
"sway bar link","Stabiliser Link","stabiliser,link,sway"
"strut mount","Strut Mount","strut,mount"
"tie rod end","Tie Rod End","tie,rod,end"
"timing belt","Timing Belt","timing,belt"
"timing belt kit","Timing Belt Kit","timing,belt,kit"
"drive belt","V-Ribbed Belt","drive,belt"
"serpentine belt","V-Ribbed Belt","serpentine,belt"
"cylinder head gasket","Cylinder Head Gasket","cylinder,head,gasket"
"valve cover gasket","Valve Cover Gasket","valve,cover,gasket"
"oil pan gasket","Oil Pan Gasket","oil,pan,gasket"
"crankshaft seal","Crankshaft Seal","crankshaft,seal"
"camshaft seal","Camshaft Seal","camshaft,seal"
"engine mount","Engine Mount","engine,mount"
"engine mount right","Engine Mount - Right","engine,mount,right"
"transmission mount","Transmission Mount","transmission,mount"
"water pump","Water Pump","water,pump"
"water pump sonata","Water Pump","water,pump,sonata"
"water pump tucson","Water Pump","water,pump,tucson"
"thermostat","Thermostat","thermostat"
"radiator","Radiator","radiator"
"radiator sonata","Radiator","radiator,sonata"
"radiator hose upper","Radiator Hose","radiator,hose,upper"
"radiator hose lower","Radiator Hose","radiator,hose,lower"
"radiator fan","Radiator Fan","radiator,fan"
"cooling fan","Radiator Fan","cooling,fan"
"fuel pump","Fuel Pump","fuel,pump"
"fuel pump sonata","Fuel Pump","fuel,pump,sonata"
"fuel pump tucson","Fuel Pump","fuel,pump,tucson"
"fuel injector","Fuel Injector","fuel,injector"
"fuel injectors","Fuel Injector","fuel,injector"
"fuel rail","Fuel Rail","fuel,rail"
"fuel pressure regulator","Fuel Pressure Regulator","fuel,pressure,regulator"
"throttle body","Throttle Body","throttle,body"
"muffler","Muffler","muffler"
"exhaust muffler","Muffler","exhaust,muffler"
"catalytic converter","Catalytic Converter","catalytic,converter"
"exhaust manifold","Exhaust Manifold","exhaust,manifold"
"exhaust pipe","Exhaust Pipe","exhaust,pipe"
"oxygen sensor","Lambda Sensor","oxygen,sensor,lambda"
"o2 sensor","Lambda Sensor","o2,sensor,lambda"
"maf sensor","Mass Air Flow Sensor","maf,sensor,mass,air"
"mass air flow sensor","Mass Air Flow Sensor","maf,sensor,mass,air"
"map sensor","Manifold Absolute Pressure Sensor","map,sensor,manifold,pressure"
"crankshaft position sensor","Crankshaft Position Sensor","crankshaft,position,sensor"
"camshaft position sensor","Camshaft Position Sensor","camshaft,position,sensor"
"coolant temp sensor","Coolant Temperature Sensor","coolant,temperature,sensor"
"abs sensor","ABS Sensor","abs,sensor"
"abs sensor front","ABS Sensor - Front","abs,sensor,front"
"abs sensor rear","ABS Sensor - Rear","abs,sensor,rear"
"knock sensor","Knock Sensor","knock,sensor"
"headlight bulb","Bulb - Headlight","bulb,headlight"
"h4 bulb","Bulb - Headlight","bulb,headlight,h4"
"h7 bulb","Bulb - Headlight","bulb,headlight,h7"
"fog light bulb","Bulb - Fog Light","bulb,fog,light"
"tail light bulb","Bulb - Tail Light","bulb,tail,light"
"wiper blade","Wiper Blade","wiper,blade"
"wiper blades","Wiper Blade","wiper,blade"
"wiper blade front","Wiper Blade - Front","wiper,blade,front"
"wiper blade rear","Wiper Blade - Rear","wiper,blade,rear"
"wiper arm","Wiper Arm","wiper,arm"
"steering rack","Steering Rack","steering,rack"
"power steering pump","Power Steering Pump","power,steering,pump"
"tie rod","Tie Rod","tie,rod"
"inner tie rod","Tie Rod - Inner","tie,rod,inner"
"outer tie rod","Tie Rod - Outer","tie,rod,outer"
"steering column","Steering Column","steering,column"
"steering wheel","Steering Wheel","steering,wheel"
"ac compressor","AC Compressor","ac,compressor"
"air conditioning compressor","AC Compressor","ac,compressor,conditioning"
"ac condenser","AC Condenser","ac,condenser"
"ac evaporator","AC Evaporator","ac,evaporator"
"blower motor","Blower Motor","blower,motor"
"heater core","Heater Core","heater,core"
"ac compressor sonata","AC Compressor","ac,compressor,sonata"
"ac compressor tucson","AC Compressor","ac,compressor,tucson"
"side mirror","Side Mirror","side,mirror"
"side mirror left","Side Mirror - Left","side,mirror,left"
"side mirror right","Side Mirror - Right","side,mirror,right"
"front bumper","Bumper - Front","bumper,front"
"rear bumper","Bumper - Rear","bumper,rear"
"fender","Fender","fender"
"grille","Grille","grille"
"hood","Hood","hood"
"door handle","Door Handle","door,handle"
"door handle outer","Door Handle - Outer","door,handle,outer"
"window regulator","Window Regulator","window,regulator"
"window regulator front","Window Regulator - Front","window,regulator,front"
"door lock actuator","Door Lock Actuator","door,lock,actuator"
"sonata timing belt","Timing Belt","timing,belt,sonata"
"elantra brake pads","Brake Pad Set","brake,pad,elantra"
"tucson water pump","Water Pump","water,pump,tucson"
"sportage air filter","Air Filter","air,filter,sportage"
"rio oil filter","Oil Filter","oil,filter,rio"
"cerato spark plug","Spark Plug","spark,plug,cerato"
"sorento alternator","Alternator","alternator,sorento"
"optima ac compressor","AC Compressor","ac,compressor,optima"
"elantra shock absorber","Shock Absorber","shock,absorber,elantra"
"sportage cabin filter","Cabin Air Filter","cabin,filter,sportage"
"فلتر زيت","Oil Filter","oil,filter"
"فلتر هواء","Air Filter","air,filter"
"فلتر مكيف","Cabin Air Filter","cabin,filter"
"بواجي","Spark Plug","spark,plug"
"دسك فرامل","Brake Disc","brake,disc"
"طقم فرامل","Brake Pad Set","brake,pad"
"طرمبة ماء","Water Pump","water,pump"
"ثرموستات","Thermostat","thermostat"
"oil filters","Oil Filter","oil,filter"
"brake pd","Brake Pad Set","brake,pad"
"brakepad","Brake Pad Set","brake,pad"
"wipers","Wiper Blade","wiper,blade"
"spark plgs","Spark Plug","spark,plug"
"front pads","Brake Pad Set - Front","brake,pad,front"
