"OEM","Slice","GroundTruth","ExpectedSystem","ExpectedCategory","GoodTokens","ExpectedMake","Chassis","Prefix5"
"92101-A9440","real_hk_seeded","exists","Electrical","Headlight - Front Left","headlight,front,left","Kia","A9","92101"
"54650-R5000","real_hk_seeded","exists","Suspension","Shock Absorber - Front","shock,absorber,front","Hyundai/Kia","R5","54650"
"92401-H9100","real_hk_seeded","exists","Electrical","Tail Light - Rear Left","tail,light,rear,left","Hyundai/Kia","H9","92401"
"87610-J5AT0","real_hk_seeded","exists","Body","Exterior Mirror","exterior,mirror","Hyundai/Kia","J5","87610"
"25310-P2520","real_hk_seeded","exists","Cooling","Radiator","radiator","Hyundai/Kia","P2","25310"
"92102-2T520","real_hk_seeded","exists","Electrical","Headlight - Front Right","headlight,front,right","Kia","2T","92102"
"92402-DW000","real_hk_seeded","exists","Electrical","Tail Light - Rear Right","tail,light,rear,right","Hyundai/Kia","DW","92402"
"25100-2MHA0","real_hk_seeded","exists","Cooling","Water Pump","water,pump","Hyundai/Kia","2M","25100"
"97134-H9100","real_hk_seeded","exists","HVAC","Cabin Air Filter","cabin,air,filter","Hyundai/Kia","H9","97134"
"87610-J5ZB0","real_hk_seeded","exists","Body","Exterior Mirror","exterior,mirror","Hyundai/Kia","J5","87610"
"58101-ATA00","real_hk_seeded","exists","Brakes","Brake Pad Set - Front","brake,pad,set,front","Hyundai/Kia","AT","58101"
"58101-CVA20","real_hk_seeded","exists","Brakes","Brake Pad Set - Front","brake,pad,set,front","Hyundai","CV","58101"
"97134-P0000","real_hk_seeded","exists","HVAC","Cabin Air Filter","cabin,air,filter","Hyundai/Kia","P0","97134"
"92101-P1181","real_hk_seeded","exists","Electrical","Headlight - Front Left","headlight,front,left","Kia","P1","92101"
"82460-DW010","real_hk_seeded","exists","Body","Power Window Motor - Front","power,window,motor,front","Hyundai/Kia","DW","82460"
"54650-AT400","real_hk_seeded","exists","Suspension","Shock Absorber - Front","shock,absorber,front","Hyundai/Kia","AT","54650"
"82460-P1010","real_hk_seeded","exists","Body","Power Window Motor - Front","power,window,motor,front","Kia","P1","82460"
"92102-K0520","real_hk_seeded","exists","Electrical","Headlight - Front Right","headlight,front,right","Hyundai/Kia","K0","92102"
"87610-H9160","real_hk_seeded","exists","Body","Exterior Mirror","exterior,mirror","Hyundai/Kia","H9","87610"
"92402-H9200","real_hk_seeded","exists","Electrical","Tail Light - Rear Right","tail,light,rear,right","Hyundai/Kia","H9","92402"
"51712-P2000","real_hk_seeded","exists","Brakes","Brake Disc - Front","brake,disc,front","Hyundai/Kia","P2","51712"
"58302-K0A10","real_hk_seeded","exists","Brakes","Brake Pad Set - Rear","brake,pad,set,rear","Hyundai/Kia","K0","58302"
"39210-3NFD0","real_hk_seeded","exists","Electrical","Oxygen Sensor","oxygen,sensor","Hyundai/Kia","3N","39210"
"92101-AT050","real_hk_seeded","exists","Electrical","Headlight - Front Left","headlight,front,left","Hyundai/Kia","AT","92101"
"51712-R5000","real_hk_seeded","exists","Brakes","Brake Disc - Front","brake,disc,front","Hyundai/Kia","R5","51712"
"58101-P2A05","real_hk_seeded","exists","Brakes","Brake Pad Set - Front","brake,pad,set,front","Hyundai/Kia","P2","58101"
"54650-J5560","real_hk_seeded","exists","Suspension","Shock Absorber - Front","shock,absorber,front","Hyundai/Kia","J5","54650"
"87610-R0570","real_hk_seeded","exists","Body","Exterior Mirror","exterior,mirror","Hyundai/Kia","R0","87610"
"58411-R5000","real_hk_seeded","exists","Brakes","Brake Disc - Rear","brake,disc,rear","Hyundai/Kia","R5","58411"
"58101-N9A11","real_hk_seeded","exists","Brakes","Brake Pad Set - Front","brake,pad,set,front","Hyundai","N9","58101"
"92401-Q5010","real_hk_seeded","exists","Electrical","Tail Light - Rear Left","tail,light,rear,left","Hyundai/Kia","Q5","92401"
"92402-R0010","real_hk_seeded","exists","Electrical","Tail Light - Rear Right","tail,light,rear,right","Hyundai/Kia","R0","92402"
"39210-3L000","real_hk_seeded","exists","Electrical","Oxygen Sensor","oxygen,sensor","Hyundai/Kia","3L","39210"
"58302-CVA50","real_hk_seeded","exists","Brakes","Brake Pad Set - Rear","brake,pad,set,rear","Hyundai","CV","58302"
"87610-M7071","real_hk_seeded","exists","Body","Exterior Mirror","exterior,mirror","Hyundai/Kia","M7","87610"
"58411-L1100","real_hk_seeded","exists","Brakes","Brake Disc - Rear","brake,disc,rear","Hyundai","L1","58411"
"28113-P0400","real_hk_seeded","exists","Engine","Air Filter","air,filter","Hyundai/Kia","P0","28113"
"28113-2S000","real_hk_seeded","exists","Engine","Air Filter","air,filter","Hyundai","2S","28113"
"92101-DW000","real_hk_seeded","exists","Electrical","Headlight - Front Left","headlight,front,left","Hyundai/Kia","DW","92101"
"82460-P2000","real_hk_seeded","exists","Body","Power Window Motor - Front","power,window,motor,front","Hyundai/Kia","P2","82460"
"54650-AT600","real_hk_seeded","exists","Suspension","Shock Absorber - Front","shock,absorber,front","Hyundai/Kia","AT","54650"
"97134-CW010","real_hk_seeded","exists","HVAC","Cabin Air Filter","cabin,air,filter","Hyundai/Kia","CW","97134"
"58411-L0000","real_hk_seeded","exists","Brakes","Brake Disc - Rear","brake,disc,rear","Hyundai/Kia","L0","58411"
"26320-3N000","real_hk_seeded","exists","Engine","Oil Filter Element","oil,filter,element","Hyundai/Kia","3N","26320"
"92101-P1191","real_hk_seeded","exists","Electrical","Headlight - Front Left","headlight,front,left","Kia","P1","92101"
"54650-J5010","real_hk_seeded","exists","Suspension","Shock Absorber - Front","shock,absorber,front","Hyundai/Kia","J5","54650"
"92102-DW110","real_hk_seeded","exists","Electrical","Headlight - Front Right","headlight,front,right","Hyundai/Kia","DW","92102"
"51712-AO000","real_hk_seeded","exists","Brakes","Brake Disc - Front","brake,disc,front","Hyundai/Kia","AO","51712"
"25100-2M020","real_hk_seeded","exists","Cooling","Water Pump","water,pump","Hyundai/Kia","2M","25100"
"58101-J9A05","real_hk_seeded","exists","Brakes","Brake Pad Set - Front","brake,pad,set,front","Hyundai/Kia","J9","58101"
"39350-08HA0","real_hk_seeded","exists","Electrical","MAF Sensor","maf,sensor","Hyundai/Kia","08","39350"
"58302-J5A00","real_hk_seeded","exists","Brakes","Brake Pad Set - Rear","brake,pad,set,rear","Hyundai/Kia","J5","58302"
"54660-J5KY0","real_hk_seeded","exists","Suspension","Shock Absorber - Front","shock,absorber,front","Hyundai/Kia","J5","54660"
"54650-G8000","real_hk_seeded","exists","Suspension","Shock Absorber - Front","shock,absorber,front","Hyundai/Kia","G8","54650"
"28113-J5100","real_hk_seeded","exists","Engine","Air Filter","air,filter","Hyundai/Kia","J5","28113"
"92402-P1120","real_hk_seeded","exists","Electrical","Tail Light - Rear Right","tail,light,rear,right","Kia","P1","92402"
"82460-P1000","real_hk_seeded","exists","Body","Power Window Motor - Front","power,window,motor,front","Kia","P1","82460"
"87610-R5050","real_hk_seeded","exists","Body","Exterior Mirror","exterior,mirror","Hyundai/Kia","R5","87610"
"58302-M6A60","real_hk_seeded","exists","Brakes","Brake Pad Set - Rear","brake,pad,set,rear","Hyundai/Kia","M6","58302"
"58411-L1000","real_hk_seeded","exists","Brakes","Brake Disc - Rear","brake,disc,rear","Hyundai","L1","58411"
"58101-J5A52","real_hk_seeded","exists","Brakes","Brake Pad Set - Front","brake,pad,set,front","Hyundai/Kia","J5","58101"
"87610-Q5850","real_hk_seeded","exists","Body","Exterior Mirror","exterior,mirror","Hyundai/Kia","Q5","87610"
"25620-L0010","real_hk_seeded","exists","Cooling","Thermostat","thermostat","Hyundai/Kia","L0","25620"
"25310-L1170","real_hk_seeded","exists","Cooling","Radiator","radiator","Hyundai","L1","25310"
"39210-2T060","real_hk_seeded","exists","Electrical","Oxygen Sensor","oxygen,sensor","Kia","2T","39210"
"87610-M7041","real_hk_seeded","exists","Body","Exterior Mirror","exterior,mirror","Hyundai/Kia","M7","87610"
"92402-K0510","real_hk_seeded","exists","Electrical","Tail Light - Rear Right","tail,light,rear,right","Hyundai/Kia","K0","92402"
"58101-L1A02","real_hk_seeded","exists","Brakes","Brake Pad Set - Front","brake,pad,set,front","Hyundai","L1","58101"
"92101-AT150","real_hk_seeded","exists","Electrical","Headlight - Front Left","headlight,front,left","Hyundai/Kia","AT","92101"
"39210-3NFC0","real_hk_seeded","exists","Electrical","Oxygen Sensor","oxygen,sensor","Hyundai/Kia","3N","39210"
"52919-P2100","real_hk_coarse","exists","Suspension","Wheels & Tires","wheels,tires","Hyundai/Kia","P2","52919"
"97147-AT010","real_hk_coarse","exists","HVAC","Compressor A/C","compressor","Hyundai/Kia","AT","97147"
"97853-AO200","real_hk_coarse","exists","HVAC","Air Conditioning & Heating","air,conditioning,heating","Hyundai/Kia","AO","97853"
"97285-P1000","real_hk_coarse","exists","HVAC","Condenser","condenser","Kia","P1","97285"
"62405-C5CB0","real_hk_coarse","exists","Body","Front Structure","front,structure","Hyundai","C5","62405"
"39122-2SMN1","real_hk_coarse","exists","Electrical","Sensors & Control","sensors,control","Hyundai","2S","39122"
"91981-H2010","real_hk_coarse","exists","Electrical","Wiring Harness","wiring,harness","Hyundai/Kia","H2","91981"
"95770-D5010","real_hk_coarse","exists","Electrical","Sensors & Modules","sensors,modules","Hyundai/Kia","D5","95770"
"82241-H8000","real_hk_coarse","exists","Body","Glass / Windshield","glass,windshield","Kia","H8","82241"
"81676-P1000","real_hk_coarse","exists","Body","Weatherstrip & Seal","weatherstrip,seal","Kia","P1","81676"
"31471-2F001","real_hk_coarse","exists","Drivetrain","Front Differential","front,differential","Hyundai/Kia","2F","31471"
"97205-Q5220","real_hk_coarse","exists","HVAC","Condenser","condenser","Hyundai/Kia","Q5","97205"
"84126-P1000","real_hk_coarse","exists","Interior","Interior Trim","interior,trim","Kia","P1","84126"
"91840-R0370","real_hk_coarse","exists","Electrical","Wiring Harness","wiring,harness","Hyundai/Kia","R0","91840"
"56522-R0000","real_hk_coarse","exists","Suspension","Steering Column & Gear","steering,column,gear","Hyundai/Kia","R0","56522"
"39110-3N506","real_hk_coarse","exists","Electrical","Sensors & Control","sensors,control","Hyundai/Kia","3N","39110"
"91931-A9010","real_hk_coarse","exists","Electrical","Wiring Harness","wiring,harness","Kia","A9","91931"
"21772-J5100","real_hk_coarse","exists","Engine","Engine Block & Internals","engine,block,internals","Hyundai/Kia","J5","21772"
"85433-R0000","real_hk_coarse","exists","Interior","Seats","seats","Hyundai/Kia","R0","85433"
"71560-P2100","real_hk_coarse","exists","Body","Bumper","bumper","Hyundai/Kia","P2","71560"
"91863-AO010","real_hk_coarse","exists","Electrical","Wiring Harness","wiring,harness","Hyundai/Kia","AO","91863"
"88299-J5000","real_hk_coarse","exists","Interior","Instrument Panel / Dashboard","instrument,panel,dashboard","Hyundai/Kia","J5","88299"
"66920-P1000","real_hk_coarse","exists","Body","Rear Body / Trunk","rear,body,trunk","Kia","P1","66920"
"83550-R0000","real_hk_coarse","exists","Body","Sunroof","sunroof","Hyundai/Kia","R0","83550"
"32450-08050","real_hk_coarse","exists","Drivetrain","Front Drive Shaft","front,drive,shaft","Hyundai/Kia","08","32450"
"86585-CV000","real_hk_coarse","exists","Body","Mirrors","mirrors","Hyundai","CV","86585"
"54625-GI000","real_hk_coarse","exists","Suspension","Shock Absorber (Front)","shock,absorber,(front)","Hyundai/Kia","GI","54625"
"21950-3X300","real_hk_coarse","exists","Engine","Engine Block & Internals","engine,block,internals","Hyundai","3X","21950"
"45720-4J600","real_hk_coarse","exists","Transmission","Manual Transmission","manual,transmission","Hyundai/Kia","4J","45720"
"92409-Q5500","real_hk_coarse","exists","Electrical","Tail Light Assembly","tail,light,assembly","Hyundai/Kia","Q5","92409"
"32410-1XAD9","real_hk_coarse","exists","Drivetrain","Front Drive Shaft","front,drive,shaft","Hyundai/Kia","1X","32410"
"92830-R0000","real_hk_coarse","exists","Electrical","Lighting - Headlights","lighting,headlights","Hyundai/Kia","R0","92830"
"91655-AT040","real_hk_coarse","exists","Electrical","Wiring Harness","wiring,harness","Hyundai/Kia","AT","91655"
"81905-D9600","real_hk_coarse","exists","Body","Weatherstrip & Seal","weatherstrip,seal","Kia","D9","81905"
"65112-R0100","real_hk_coarse","exists","Body","Fender & Side Body","fender,side,body","Hyundai/Kia","R0","65112"
"96770-F6000","real_hk_coarse","exists","Electrical","Battery & Charging","battery,charging","Hyundai/Kia","F6","96770"
"88450-L3030","real_hk_coarse","exists","Interior","Instrument Panel / Dashboard","instrument,panel,dashboard","Hyundai/Kia","L3","88450"
"82412-C7000","real_hk_coarse","exists","Body","Glass / Windshield","glass,windshield","Hyundai/Kia","C7","82412"
"45867-3B407","real_hk_coarse","exists","Transmission","Manual Transmission","manual,transmission","Hyundai/Kia","3B","45867"
"94011-R5210","real_hk_coarse","exists","Electrical","Audio & Display","audio,display","Hyundai/Kia","R5","94011"
"66321-DW000","real_hk_coarse","exists","Body","Rear Body / Trunk","rear,body,trunk","Hyundai/Kia","DW","66321"
"86541-S9700","real_hk_coarse","exists","Body","Mirrors","mirrors","Hyundai/Kia","S9","86541"
"95460-Q5700","real_hk_coarse","exists","Electrical","Sensors & Modules","sensors,modules","Hyundai/Kia","Q5","95460"
"25451-47200","real_hk_coarse","exists","Engine","Fuel System","fuel,system","Hyundai/Kia","47","25451"
"62471-R0000","real_hk_coarse","exists","Body","Front Structure","front,structure","Hyundai/Kia","R0","62471"
"91753-A7300","real_hk_coarse","exists","Electrical","Wiring Harness","wiring,harness","Kia","A7","91753"
"56390-P1030","real_hk_coarse","exists","Suspension","Tie Rod","tie,rod","Kia","P1","56390"
"65518-N9000","real_hk_coarse","exists","Body","Fender & Side Body","fender,side,body","Hyundai","N9","65518"
"96340-R0000","real_hk_coarse","exists","Electrical","Battery & Charging","battery,charging","Hyundai/Kia","R0","96340"
"65100-Q5040","real_hk_coarse","exists","Body","Fender & Side Body","fender,side,body","Hyundai/Kia","Q5","65100"
"15716-17121","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","17","15716"
"80410-DW000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","DW","80410"
"99140-L3100","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","L3","99140"
"99216-CG000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","CG","99216"
"20920-2SH02","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","2S","20920"
"09375-CN300","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","CN","09375"
"77003-CV000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","CV","77003"
"09147-S1000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","S1","09147"
"99211-Q4100","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","Q4","99211"
"99150-P2110","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","P2","99150"
"99150-J5020","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","J5","99150"
"99240-K0600","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","K0","99240"
"99960-F6200","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","F6","99960"
"14331-08160","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","08","14331"
"42700-3B710","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","3B","42700"
"99240-F6010","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","F6","99240"
"09501-C9120","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","C9","09501"
"99240-P1200","real_hk_unseeded","exists","Unknown","Unknown","","Kia","P1","99240"
"80640-DW000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","DW","80640"
"42951-3D410","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","3D","42951"
"77990-R5000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","R5","77990"
"79325-1Y000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","1Y","79325"
"11685-06883","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","06","11685"
"99145-M6600","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","M6","99145"
"99220-P2000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","P2","99220"
"99246-P1100","real_hk_unseeded","exists","Unknown","Unknown","","Kia","P1","99246"
"99216-F6000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","F6","99216"
"80610-R5000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","R5","80610"
"05203-S9100","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","S9","05203"
"05203-R5420","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","R5","05203"
"66230-A6557","plausible_hk","not_hk_format","Body","Rear Body / Trunk","","Hyundai/Kia","A6","66230"
"24591-D9555","plausible_hk","not_hk_format","Engine","Intake & Exhaust Manifold","","Hyundai/Kia","D9","24591"
"23430-C6637","plausible_hk","not_hk_format","Engine","Cylinder Head & Valvetrain","","Hyundai/Kia","C6","23430"
"65333-CV494","plausible_hk","not_hk_format","Body","Fender & Side Body","","Hyundai/Kia","CV","65333"
"14459-3E101","plausible_hk","not_hk_format","Unknown","Unknown","","Hyundai/Kia","3E","14459"
"12561-3X442","plausible_hk","not_hk_format","Unknown","Unknown","","Hyundai/Kia","3X","12561"
"80004-CV566","plausible_hk","not_hk_format","Unknown","Unknown","","Hyundai/Kia","CV","80004"
"95453-B1456","plausible_hk","not_hk_format","Electrical","Sensors & Modules","","Hyundai/Kia","B1","95453"
"53178-A9562","plausible_hk","not_hk_format","Suspension","Power Steering","","Hyundai/Kia","A9","53178"
"75442-2U197","plausible_hk","not_hk_format","Body","Door Lock & Handle","","Hyundai/Kia","2U","75442"
"BR3Z-9601-A","non_hk","non_hk","","","","","",""
"None","non_hk","non_hk","","","","","",""
"89422-33020","non_hk","non_hk","","","","","",""
"12345-ABCDE","non_hk","non_hk","","","","","",""
"84540-08010","non_hk","non_hk","","","","","",""
"F2GZ-9601-A","non_hk","non_hk","","","","","",""
"06J-115-403-Q","non_hk","non_hk","","","","","",""
"06L-115-561-H","non_hk","non_hk","","","","","",""
"PE02-15-100","non_hk","non_hk","","","","","",""
"48815-30070","non_hk","non_hk","","","","","",""
